cdli_name,unicode_name
4(N08~b),PROTO-CUNEIFORM NUMBER FOUR-N8-B
4(N08~c),PROTO-CUNEIFORM NUMBER FOUR-N8-C
4(N14),PROTO-CUNEIFORM NUMBER FOUR-N14
4(N14@f),PROTO-CUNEIFORM NUMBER FOUR-N14 FLAT
4(N15),PROTO-CUNEIFORM NUMBER FOUR-N15
4(N18),PROTO-CUNEIFORM NUMBER FOUR-N18
4(N19),PROTO-CUNEIFORM NUMBER FOUR-N19
4(N19@f),PROTO-CUNEIFORM NUMBER FOUR-N19 FLAT
4(N20),PROTO-CUNEIFORM NUMBER FOUR-N20
4(N21),PROTO-CUNEIFORM NUMBER FOUR-N21
4(N24),PROTO-CUNEIFORM NUMBER FOUR-N24
4(N34),PROTO-CUNEIFORM NUMBER FOUR-N34
4(N34@f),PROTO-CUNEIFORM NUMBER FOUR-N34 FLAT
4(N36),PROTO-CUNEIFORM NUMBER FOUR-N36
4(N39~a),PROTO-CUNEIFORM NUMBER FOUR-N39-A
4(N39~b),PROTO-CUNEIFORM NUMBER FOUR-N39-B
4(N40),PROTO-CUNEIFORM NUMBER FOUR-N40
4(N41),PROTO-CUNEIFORM NUMBER FOUR-N41
4(N42~a),PROTO-CUNEIFORM NUMBER FOUR-N42-A
4(N42~b),PROTO-CUNEIFORM NUMBER FOUR-N42-B
4(N43),PROTO-CUNEIFORM NUMBER FOUR-N43
4(N45),PROTO-CUNEIFORM NUMBER FOUR-N45
4(N45@f),PROTO-CUNEIFORM NUMBER FOUR-N45 FLAT
4(N48),PROTO-CUNEIFORM NUMBER FOUR-N48
4(N49),PROTO-CUNEIFORM NUMBER FOUR-N49
4(N50),PROTO-CUNEIFORM NUMBER FOUR-N50
4(N51),PROTO-CUNEIFORM NUMBER FOUR-N51
4(N51@f),PROTO-CUNEIFORM NUMBER FOUR-N51 FLAT
4(N52),PROTO-CUNEIFORM NUMBER FOUR-N52
4(N54),PROTO-CUNEIFORM NUMBER FOUR-N54
4(N57),PROTO-CUNEIFORM NUMBER FOUR-N57
|4(N57).AMAR|,PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE AMAR
|4(N57).GAR|,PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE GAR
|4(N57).KU3~a|,PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE KU3-A
|4(N57).NI~b|,PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE NI-B
