	9(bur)		9(bur₃)
	abzu		abzu₂
	giri⁻		giri₁₆⁻
	udilia		udilia
	zizna		zizna
×BAD|	×BAD|
@sign	LAK171@s	@sign	LAK171@s
@sign	LAK173	@sign	LAK173
@sign	LAK178	@sign	LAK178
@sign	LAK195	@sign	LAK195
@sign	LAK20	@sign	LAK20
@sign	LAK203	@sign	LAK203
@sign	LAK205	@sign	LAK205
@sign	LAK207a	@sign	LAK207a
@sign	LAK21	@sign	LAK21
@sign	LAK210	@sign	LAK210
@sign	LAK213	@sign	LAK213
@sign	LAK219	@sign	LAK219
@sign	LAK220	@sign	LAK220
@sign	LAK222	@sign	LAK222
@sign	LAK225	@sign	LAK225
@sign	LAK228	@sign	LAK228
@sign	LAK231	@sign	LAK231
@sign	LAK238	@sign	LAK238
@sign	LAK241	@sign	LAK241
@sign	LAK246	@sign	LAK246
@sign	LAK248	@sign	LAK248
@sign	LAK248@g	@sign	LAK248@g
@sign	LAK248b	@sign	LAK248b
@sign	LAK25	@sign	LAK25
@sign	LAK252	@sign	LAK252
@sign	LAK256	@sign	LAK256
@sign	LAK256@g	@sign	LAK256@g
@sign	LAK262	@sign	LAK262
@sign	LAK262@g	@sign	LAK262@g
@sign	LAK265	@sign	LAK265
@sign	LAK266	@sign	LAK266
@sign	LAK27	@sign	LAK27
@sign	LAK28	@sign	LAK28
@sign	LAK280	@sign	LAK280
@sign	LAK286	@sign	LAK286
@sign	LAK287	@sign	LAK287
@sign	LAK298	@sign	LAK298
@sign	LAK3	@sign	LAK3
@sign	LAK30	@sign	LAK30
@sign	LAK304a	@sign	LAK304a
@sign	LAK309a	@sign	LAK309a
@sign	LAK315	@sign	LAK315
@sign	LAK336	@sign	LAK336
@sign	LAK340	@sign	LAK340
@sign	LAK343	@sign	LAK343
@sign	LAK347	@sign	LAK347
@sign	LAK348	@sign	LAK348
@sign	LAK363	@sign	LAK363
@sign	LAK368@s	@sign	LAK368@s
@sign	LAK369	@sign	LAK369
@sign	LAK37	@sign	LAK37
@sign	LAK380	@sign	LAK380
@sign	LAK383	@sign	LAK383
@sign	LAK386	@sign	LAK386
@sign	LAK387	@sign	LAK387
@sign	LAK390	@sign	LAK390
@sign	LAK407	@sign	LAK407
@sign	LAK408	@sign	LAK408
@sign	LAK409	@sign	LAK409
@sign	LAK410	@sign	LAK410
@sign	LAK416	@sign	LAK416
@sign	LAK431	@sign	LAK431
@sign	LAK441	@sign	LAK441
@sign	LAK450	@sign	LAK450
@sign	LAK453	@sign	LAK453
@sign	LAK457	@sign	LAK457
@sign	LAK459	@sign	LAK459
@sign	LAK460	@sign	LAK460
@sign	LAK470	@sign	LAK470
@sign	LAK471	@sign	LAK471
@sign	LAK483	@sign	LAK483
@sign	LAK488	@sign	LAK488
@sign	LAK490	@sign	LAK490
@sign	LAK492	@sign	LAK492
@sign	LAK495	@sign	LAK495
@sign	LAK496	@sign	LAK496
@sign	LAK498	@sign	LAK498
@sign	LAK499	@sign	LAK499
@sign	LAK50	@sign	LAK50
@sign	LAK500	@sign	LAK500
@sign	LAK51	@sign	LAK51
@sign	LAK539	@sign	LAK539
@sign	LAK550	@sign	LAK550
@sign	LAK558	@sign	LAK558
@sign	LAK605	@sign	LAK605
@sign	LAK606	@sign	LAK606
@sign	LAK607	@sign	LAK607
@sign	LAK608	@sign	LAK608
@sign	LAK617	@sign	LAK617
@sign	LAK636	@sign	LAK636
@sign	LAK638	@sign	LAK638
@sign	LAK646	@sign	LAK646
@sign	LAK649	@sign	LAK649
@sign	LAK708	@sign	LAK708
@sign	LAK712	@sign	LAK712
@sign	LAK724	@sign	LAK724
@sign	LAK747	@sign	LAK747
@sign	LAK748	@sign	LAK748
@sign	LAK749	@sign	LAK749
@sign	LAK764	@sign	LAK764
@sign	LAK771	@sign	LAK771
@sign	LAK772b	@sign	LAK772b
@sign	LAK774	@sign	LAK774
@sign	LAK791a	@sign	LAK791a
@sign	LAK80	@sign	LAK80
@sign	LAK811	@sign	LAK811
@sign	LAK812	@sign	LAK812
@sign	LAK821	@sign	LAK821
@sign	LAK92	@sign	LAK92
@sign	LAL	@sign	LAL
@sign	LAL	@sign	LAL₂
@sign	LAM	@sign	LAM
@sign	LI	@sign	LI
@sign	LIL	@sign	LIL
@sign	LIMMU	@sign	LIMMU
@sign	LIMMU~a	@sign	LIMMU~a
@sign	LIMMU~b	@sign	LIMMU~b
@sign	LIMMU	@sign	LIMMU₂
@sign	LIŠ	@sign	LIŠ
@sign	LN	@sign	LN
@sign	LU	@sign	LU
@sign	LUGAL	@sign	LUGAL
@sign	LUGAL@s	@sign	LUGAL@s
@sign	LUH	@sign	LUH
@sign	LUL	@sign	LUL
@sign	LUM	@sign	LUM
@sign	LU	@sign	LU₂
@sign	LU	@sign	LU₃
@sign	LU@90	@sign	LU₂@90
@sign	LU@s	@sign	LU₂@s
@sign	MA	@sign	MA
@sign	MA@g	@sign	MA@g
@sign	MAH	@sign	MAH
@sign	MAR	@sign	MAR
@sign	MAŠ	@sign	MAŠ
@sign	MA	@sign	MA₂
@sign	MAŠ	@sign	MAŠ₂
@sign	ME	@sign	ME
@sign	MES	@sign	MES
@sign	MI	@sign	MI
@sign	MIN	@sign	MIN
@sign	MU	@sign	MU
@sign	MUG	@sign	MUG
@sign	MUG@g	@sign	MUG@g
@sign	MUNSUB	@sign	MUNSUB
@sign	MURGU	@sign	MURGU₂
@sign	MURUB	@sign	MURUB₄
@sign	MUŠ	@sign	MUŠ
@sign	MUŠ	@sign	MUŠ₃
@sign	MUŠ@g	@sign	MUŠ₃@g
@sign	N	@sign	N
@sign	NA	@sign	NA
@sign	NAGA	@sign	NAGA
@sign	NAGA@180	@sign	NAGA@180
@sign	NAGAR	@sign	NAGAR
@sign	NAM	@sign	NAM
@sign	NAM	@sign	NAM₂
@sign	NA	@sign	NA₂
@sign	NE	@sign	NE
@sign	NE@s	@sign	NE@s
@sign	NI	@sign	NI
@sign	NIGIDAEŠ	@sign	NIGIDAEŠ
@sign	NIGIDAMIN	@sign	NIGIDAMIN
@sign	NIM	@sign	NIM
@sign	NINDA	@sign	NINDA₂
@sign	NISAG	@sign	NISAG
@sign	NI	@sign	NI₂
@sign	NU	@sign	NU
@sign	NUN	@sign	NUN
@sign	NUNUZ	@sign	NUNUZ
@sign	NU	@sign	NU₁₁
@sign	NU@90	@sign	NU₁₁@90
@sign	O	@sign	O
@sign	ON	@sign	ON
@sign	OO	@sign	OO
@sign	PA	@sign	PA
@sign	PAD	@sign	PAD
@sign	PAN	@sign	PAN
@sign	PAP	@sign	PAP
@sign	PEŠ	@sign	PEŠ₂
@sign	PI	@sign	PI
@sign	PIRIG	@sign	PIRIG
@sign	PN	@sign	PN
@sign	P	@sign	P₁
@sign	P	@sign	P₂
@sign	P	@sign	P₃
@sign	P	@sign	P₄
@sign	P	@sign	P₅
@sign	RA	@sign	RA
@sign	RAB	@sign	RAB
@sign	REC107	@sign	REC107
@sign	RI	@sign	RI
@sign	RN	@sign	RN
@sign	RSP350	@sign	RSP350
@sign	RSP380bis	@sign	RSP380bis
@sign	RSP404	@sign	RSP404
@sign	RSP468bis	@sign	RSP468bis
@sign	RU	@sign	RU
@sign	SA	@sign	SA
@sign	SAG	@sign	SAG
@sign	SAG@g	@sign	SAG@g
@sign	SAG@n	@sign	SAG@n
@sign	SAG@n@g	@sign	SAG@n@g
@sign	SAL	@sign	SAL
@sign	SANGA	@sign	SANGA₂
@sign	SAR	@sign	SAR
@sign	SI	@sign	SI
@sign	SI@g	@sign	SI@g
@sign	SIG	@sign	SIG
@sign	SIG	@sign	SIG₄
@sign	SIK	@sign	SIK₂
@sign	SILA	@sign	SILA₃
@sign	SU	@sign	SU
@sign	SUD	@sign	SUD
@sign	SUD	@sign	SUD₂
@sign	SUHUR	@sign	SUHUR
@sign	SUM	@sign	SUM
@sign	SUMAŠ	@sign	SUMAŠ
@sign	SUR	@sign	SUR
@sign	SUR	@sign	SUR₉
@sign	TA	@sign	TA
@sign	TA@g	@sign	TA@g
@sign	TA@v	@sign	TA@v
@sign	TAB	@sign	TAB
@sign	TAG	@sign	TAG
@sign	TAK	@sign	TAK₄
@sign	TAR	@sign	TAR
